id,name,code,scale,contained_in,slug
110620-gal-adour-chalosse-tursan-marsan,GAL Adour Chalosse Tursan Marsan,ACTM,Ad-hoc,,
110621-gal-test,GAL TEST,GT,Ad-hoc,,
110622-val-de-comporte,Val-de-Comporté,VDC,Ad-hoc,,
110623-communes-de-10-000-habitants-com,Communes de -10.000 habitants + COM,-10000+COM,Ad-hoc,,
110624-charente-charente-maritime-deux-sevres-et-vienne,"Charente, Charente-Maritime, Deux-Sèvres et Vienne",ExPC,Ad-hoc,,
110626-gal-auvergne-rhone-alpes-des-terroirs-bourbonnais,GAL Auvergne-Rhône-Alpes des Terroirs Bourbonnais,65d76294434ec,Ad-hoc,,
110627-regions-01-02-03-04-06-11-24-32-44-52-53-75-76-84-94,regions_01_02_03_04_06_11_24_32_44_52_53_75_76_84_94,65ddbfdccd451,Ad-hoc,,
110628-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-93-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_93_987_988,65ddbfdd03599,Ad-hoc,,
110629-regions-04-06,regions_04_06,65ddbfdd10f5d,Ad-hoc,,
110630-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-93-94-977-978,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_93_94_977_978,65ddbfdd25cc5,Ad-hoc,,
110631-regions-27-53-76-84-94,regions_27_53_76_84_94,65ddbfdd37009,Ad-hoc,,
110632-regions-01-02-03-11-24-27-28-32-52-53-76,regions_01_02_03_11_24_27_28_32_52_53_76,65ddbfdd699e1,Ad-hoc,,
110633-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-93-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_93_987_988,65ddbfdd713c0,Ad-hoc,,
110634-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-93-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_93_987_988,65ddbfdd78561,Ad-hoc,,
110635-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-93-94-975-977-978-987-988-989,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_93_94_975_977_978_987_988_989,65ddbfdd86145,Ad-hoc,,
110636-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-93-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_93_987_988,65ddbfdd9fe6e,Ad-hoc,,
110637-regions-02-04-06-11-24-27-28-32-44-75-93,regions_02_04_06_11_24_27_28_32_44_75_93,65ddbfddb2482,Ad-hoc,,
110638-regions-01-02-04-06-11-24-27-28-32-44-75-93,regions_01_02_04_06_11_24_27_28_32_44_75_93,65ddbfddb76e4,Ad-hoc,,
110639-regions-01-02-03-04-06-11-24-27-28-32-44-52-75-76-93-975-977-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_75_76_93_975_977_987_988,65ddbfddbcb4b,Ad-hoc,,
110640-regions-01-02-03-04-06-11-24-27-32-44-52-53-75-76-84-93-987-988,regions_01_02_03_04_06_11_24_27_32_44_52_53_75_76_84_93_987_988,65eb227146e12,Ad-hoc,,
110641-gal-la-rochelle-re-aunis,GAL La Rochelle-Ré-Aunis,GALRRA,Ad-hoc,,
110642-regions-01-02-03-04-06-11-24-27-28-32-44-52-75-76-84-93-94-975-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_75_76_84_93_94_975_987_988,66125997535e0,Ad-hoc,,
110643-regions-01-02-03-04-06-11-24-27-32-44-52-75-76-84-93-94-975-987-988,regions_01_02_03_04_06_11_24_27_32_44_52_75_76_84_93_94_975_987_988,661259979e84b,Ad-hoc,,
110644-regions-01-02-03-04-06-11-24-27-32-44-52-75-76-93-94-975-987-988,regions_01_02_03_04_06_11_24_27_32_44_52_75_76_93_94_975_987_988,66125997a5cd6,Ad-hoc,,
110645-gal-entre-lacs-et-montagnes,GAL Entre Lacs et Montagnes,GALAURAELM,Ad-hoc,,
110646-petr-du-soissonnais-valois,PETR du Soissonnais Valois,PETRSV,Ad-hoc,,
110647-petites-villes-de-demain-parcs-naturels-regionaux-et-parcs-nationaux,"Petites Villes de Demain, Parcs Naturels Régionaux et Parcs Nationaux",PVD+PNR+PN,Ad-hoc,,
110648-gal-du-triangle-d-orient,GAL du Triangle d'Orient,GTO,Ad-hoc,,
110649-siaep-vayres-tardoire,SIAEP Vayres & Tardoire,SIAEPVT,Ad-hoc,,
110650-regions-11-24-27-28-32-44-52-75-76-84-93,regions_11_24_27_28_32_44_52_75_76_84_93,662e09112780b,Ad-hoc,,
110651-regions-01-02-03-04-06-11-27-32-44-52-75-76-93-94-975-977-978-987-988,regions_01_02_03_04_06_11_27_32_44_52_75_76_93_94_975_977_978_987_988,6652f31bb3ffc,Ad-hoc,,
110652-gal-loire,GAL Loire,GALL,Ad-hoc,,
110653-gal-loire-aap-revitalisation-de-centre-bourg,GAL Loire AAP Revitalisation de centre-bourg,GALLRCN,Ad-hoc,,
110654-territoires-transfrontaliers,Territoires transfrontaliers,TT,Ad-hoc,,
110655-gal-des-cevennes-au-rhone,GAL des Cévennes au Rhône,GCR,Ad-hoc,,
110656-aubagne-berre-l-etang-istres-la-ciotat-marignane-miramas-port-de-bouc-salon-de-provence-vitrolles,"Aubagne, Berre l’Etang , Istres, La Ciotat, Marignane, Miramas, Port de Bouc, Salon de Provence, Vitrolles",ABICMMPSV,Ad-hoc,,
110657-gal-ardeche,GAL Ardèche,GALA,Ad-hoc,,
110658-gal-seine-eure,GAL Seine-Eure,GSE,Ad-hoc,,
110660-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-93-94-975-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_93_94_975_987_988,6681178fc8bab,Ad-hoc,,
110662-cc-des-hautes-vosges-cc-de-la-porte-des-vosges-meridionales-cc-des-ballons-des-hautes-vosges,"CC des Hautes Vosges, CC de la Porte des Vosges Méridionales, CC des Ballons des Hautes Vosges",HVPVMBHV,Ad-hoc,,
110663-gal-alpes-et-azur,GAL Alpes et Azur,GAA,Ad-hoc,,
110664-gal-pays-vitryat,GAL Pays Vitryat,GPV,Ad-hoc,,
110667-gal-dracenie-pays-de-fayence,GAL Dracénie - Pays de Fayence,GDPF,Ad-hoc,,
110668-gal-beauce-dunois,GAL Beauce Dunois,GBD,Ad-hoc,,
110669-galpa-fecamp-et-cote-d-albatre,GALPA Fécamp et Côte d'Albâtre,GALPAFCA,Ad-hoc,,
110670-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-93-94-975-977-978,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_93_94_975_977_978,677a145a38206,Ad-hoc,,
110671-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_987_988,677a145a94983,Ad-hoc,,
110672-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_987_988,677a145ab58b5,Ad-hoc,,
110673-regions-04-27-75-84-93,regions_04_27_75_84_93,677a145abf4dd,Ad-hoc,,
110674-regions-01-02-03-04-27-53-75-84-93-975,regions_01_02_03_04_27_53_75_84_93_975,677a145ad1ccc,Ad-hoc,,
110675-regions-01-02-03-04-06-11-24-32-44-52-53-75-76-84-93-94,regions_01_02_03_04_06_11_24_32_44_52_53_75_76_84_93_94,677a145b0eb89,Ad-hoc,,
110676-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_987_988,677a145b2d829,Ad-hoc,,
110677-regions-01-02-03-04-06-11-24-27-28-32-52-53-75-76-84-94,regions_01_02_03_04_06_11_24_27_28_32_52_53_75_76_84_94,677a145b36da5,Ad-hoc,,
110678-regions-01-02-03-04-06-27-53-76-84-94-987,regions_01_02_03_04_06_27_53_76_84_94_987,677a145b3cc13,Ad-hoc,,
110679-regions-01-02-03-04-11-24-27-28-32-52-75-76-84-94,regions_01_02_03_04_11_24_27_28_32_52_75_76_84_94,677a145b57cbe,Ad-hoc,,
110680-regions-44-75-93,regions_44_75_93,677a145b607b7,Ad-hoc,,
110681-regions-04-06-11-27-28-32-44-53-75-76-84-93-94,regions_04_06_11_27_28_32_44_53_75_76_84_93_94,679efc10aaa4c,Ad-hoc,,
110685-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-94-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_94_987_988,67d65b12acc46,Ad-hoc,,
110686-regions-01-02-03-04-06-987-988,regions_01_02_03_04_06_987_988,67f20b06ee780,Ad-hoc,,
110687-syndicat-mixte-des-ports-de-l-estuaire-de-la-seudre,Syndicat Mixte des ports de l'Estuaire de la Seudre,SMPES,Ad-hoc,,
110688-syndicat-intercommunautaire-riviere-calavon-coulon,Syndicat Intercommunautaire  RIVIÈRE CALAVON-COULON,200046530,Ad-hoc,,
