id,slug,text,perimeter,group_id,group_name
204-territoire-de-belfort-departement,territoire-de-belfort-departement,Conseil départemental du Territoire de Belfort,,,
206-hauts-de-seine-departement,hauts-de-seine-departement,Conseil départemental des Hauts-de-Seine,Hauts-de-Seine,3.0,Conseil départemental (CD)
207-seine-saint-denis-departement,seine-saint-denis-departement,Conseil départemental de la Seine-Saint-Denis,Seine-Saint-Denis,3.0,Conseil départemental (CD)
208-val-de-marne-departement,val-de-marne-departement,Conseil départemental du Val-de-Marne,Val-de-Marne,3.0,Conseil départemental (CD)
209-val-doise-departement,val-doise-departement,Conseil départemental du Val-d'Oise,Val-d'Oise,3.0,Conseil départemental (CD)
210-guadeloupe-departement,guadeloupe-departement,Conseil départemental de la Guadeloupe,Guadeloupe,3.0,Conseil départemental (CD)
213-la-reunion-departement,la-reunion-departement,Conseil départemental de La Réunion,La Réunion,3.0,Conseil départemental (CD)
214-mayotte-departement,mayotte-departement,Conseil départemental de Mayotte,Mayotte,3.0,Conseil départemental (CD)
215-ademe-direction-regionale-ile-de-france,ademe-direction-regionale-ile-de-france,Ademe — Direction régionale — Île-de-France,Île-de-France,12.0,ADEME - Direction régionale
216-banque-des-territoires-direction-regionale-ile-de-,banque-des-territoires-direction-regionale-ile-de-,Banque des Territoires — Direction régionale — Île-de-France,Île-de-France,,
217-prefecture-de-region-ile-de-france,prefecture-de-region-ile-de-france,Préfecture de région — Île-de-France,Île-de-France,39.0,Préfecture de région
218-direction-regionale-de-lalimentation-de-lagricultu,direction-regionale-de-lalimentation-de-lagricultu,"Direction régionale de l'Alimentation, de l'Agriculture et de la Forêt (DRAAF) — Île-de-France",,,
219-direction-regionale-des-affaires-culturelles-drac-,direction-regionale-des-affaires-culturelles-drac-,Direction régionale des Affaires culturelles (DRAC) — Île-de-France,Île-de-France,32.0,Direction régionale des Affaires culturelles (DRAC)
220-direction-regionale-de-leconomie-de-lemploi-du-tra,direction-regionale-de-leconomie-de-lemploi-du-tra,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS) — Île-de-France",Île-de-France,29.0,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS)"
